accession	superkingdom	phylum	class	order	family	genus	species
FZPD01000007.1		Bacteroidota	Cytophagia	Cytophagales	Reichenbachiellaceae	Ekhidna	Ekhidna lutea
JACVQF010000200.1		Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces griseicoloratus
JACVVD010000002.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus sedimenti
MLQS01000017.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Anaerobacillus	Anaerobacillus alkalidiazotrophicus
MLQS01000030.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Anaerobacillus	Anaerobacillus alkalidiazotrophicus
FMKA01000040.1		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerobium	Anaerobium acetethylicum
FNAI01000004.1		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter pineti
LASZ01000018.1		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Luteimonas	Luteimonas sp. FCS-9
SRMQ01000002.1		Bacillota	Clostridia	Eubacteriales	Acutalibacteraceae	Caproiciproducens	Caproiciproducens galactitolivorans
CP002353.1		Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	Isosphaera	Isosphaera pallida
HF992214.1		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Eshraghiella	Eshraghiella crossota
JACHEK010000001.1		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Silvibacterium	Silvibacterium bohemicum
JNVU01000012.1		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Saccharopolyspora rectivirgula
SDKM01000032.1		Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides guangzhouensis
CP000667.1		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Salinispora	Salinispora tropica
FOKK01000005.1		Bacteroidota	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus	Algoriphagus aquimarinus
HF992490.1		Mycoplasmatota	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma sp. CAG:877
BMXF01000003.1		Bacteroidota	Cytophagia	Cytophagales	Spirosomataceae	Persicitalea	Persicitalea jodogahamensis
LWBR01000006.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Aeribacillus	Aeribacillus pallidus
SLXA01000006.1		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Frisingicoccus	Frisingicoccus caecimuris
FQUL01000005.1		Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Ferrithrix	Ferrithrix thermotolerans
JAENJH010000003.1		Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Prauserella	Prauserella cavernicola
PYXZ01000002.1		Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides currus
FNCN01000016.1		Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Sinosporangium	Sinosporangium album
JAFBEB010000012.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus fulvus
LMHA01000001.1		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Pseudoxanthomonas	Pseudoxanthomonas sp. Root65
VYKK01000001.1		Bacillota	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus spiritus
QZEZ01000001.1		Actinomycetota	Actinomycetes	Motilibacterales	Vallicoccaceae	Vallicoccus	Vallicoccus soli
JACHDY010000001.1		Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Tunturiibacter	Tunturiibacter lichenicola
RJSF01000003.1		Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides pocheonensis
WQKZ01000003.1		Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter	Hymenobacter ginkgonis
QKLU01000009.1		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter nutrimenti
VKDC01000015.1		Bacteroidota	Cytophagia	Cytophagales	Fulvivirgaceae	Fulvivirga	Fulvivirga sp. M361
FNHH01000023.1		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Daejeonella	Daejeonella rubra
OCND01000002.1		Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Pseudoxanthomonas	Pseudoxanthomonas wuyuanensis
CAAHFG010000001.1		Kiritimatiellota	Kiritimatiellia	Kiritimatiellales	Pontiellaceae	Pontiella	Pontiella desulfatans
CAJPFH010000016.1		Bacteroidota	Flavobacteriia	Flavobacteriales			Flavobacteriales bacterium
FQYV01000004.1		Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aequorivita	Aequorivita viscosa
FZPH01000013.1		Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Asanoa	Asanoa hainanensis
GG657972.1		Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium gonidiaformans
JACBZI010000001.1		Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides marinus
LLWP01000003.1		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter sp. Hv1
FOLE01000007.1		Bacteroidota	Cytophagia	Cytophagales	Flexibacteraceae	Flexibacter	Flexibacter flexilis
WWEO01000041.1		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter agri
JACIFP010000001.1		Actinomycetota	Actinomycetes	Mycobacteriales	Gordoniaceae	Gordonia	Gordonia humi
SUKC01000008.1		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sp. CAU 1506
CYYJ01000001.1		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	Coprococcus eutactus
FOPE01000007.1		Bacillota	Clostridia	Lachnospirales	Lachnospiraceae		Lachnospiraceae bacterium C7
FR886163.1		Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium	Eubacterium sp. CAG:248
WPIK01000001.1		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter arboris
WSEK01000004.1		Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides agri
MTSE01000024.1		Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter	Hymenobacter crusticola
BOOU01000063.1		Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Sphaerisporangium	Sphaerisporangium rufum
QYZP01000001.1		Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Nesterenkonia	Nesterenkonia natronophila
BMIL01000006.1		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter quisquiliarum
JABAFC010000017.1		Bacillota	Bacilli	Bacillales	Bacillaceae	Psychrobacillus	Psychrobacillus sp. BL-248-WT-3
SAYW01000004.1		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter chitinilyticus
JAERWK010000010.1		Actinomycetota	Actinomycetes	Nakamurellales	Nakamurellaceae	Nakamurella	Nakamurella leprariae
FNPA01000002.1		Bacillota	Clostridia	Eubacteriales	Oscillospiraceae		Ruminococcaceae bacterium YAD3003
BOOW01000031.1		Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Sinosporangium	Sinosporangium siamense
CP045921.1		Candidatus Saccharimonadota				Candidatus Mycosynbacter	Candidatus Mycosynbacter amalyticus
